"101     ","新世纪终身保险                "
"AB8     ","泰康康悦人生健康保障计划      "
"AB9     ","泰康富足人生年金保险（分红型  "
"AE9     ","泰康全能保保障计划            "
"AG1     ","泰康养老转换年金              "
"AN1     ","泰康恒泰保证年金保险５０岁领  "
"AN2     ","泰康恒泰保证年金保险５５岁领  "
"AN3     ","泰康恒泰保证年金保险６０岁领  "
"AN4     ","泰康恒泰保证年金保险６５岁领  "
"AZ1     ","泰康福寿一生终身寿险          "
"AZ2     ","泰康福寿一生终身寿险          "
"AZ3     ","泰康福寿一生B款终身寿险       "
"B10     ","泰康祥云永泰终身年金保险　　  "
"B11     ","泰康祥云永泰(2014)终身年金    "
"B12     ","泰康鑫泰年金保障计划          "
"B13     ","泰康祥云二号升级版保障计划    "
"B14     ","泰康祥云佳泰恶性肿瘤保险计划  "
"BA2     ","泰康祥云康顺保障计划          "
"BA3     ","泰康祥云顺意保障计划Ｂ款      "
"BA5     ","泰康祥云顺意保障计划Ｂ款      "
"BA8     ","泰康祥云吉顺保障计划(成人)    "
"BA9     ","泰康祥云吉顺保障计划(少儿)    "
"BB3     ","泰康祥云康乐保障计划          "
"BB4     ","泰康祥云康悦保障计划          "
"BB5     ","泰康祥云康顺B款保障计划       "
"BB8     ","泰康祥云吉顺B款保障计划       "
"BB9     ","泰康祥云一号C                 "
"BBA     "," 泰康家倍保重大疾病保障计划   "
"BBB     ","家倍保B款重大疾病保障计划     "
"BBC     ","泰康祥云康顺C款保障计划       "
"BBD     ","家倍保大学教育金两全保险      "
"CMB     ","伙伴一生保障计划              "
"D01     ","生命关爱重大疾病保险（分红）  "
"D02     ","泰康生命关爱重大疾病（５５）  "
"D03     ","泰康生命关爱重大疾病（６０）  "
"D04     ","泰康生命关爱重大疾病（６５）  "
"D05     ","重疾终身保险                  "
"D06     ","重疾终身保险                  "
"D07     ","重疾终身保险                  "
"D08     ","重疾终身保险                  "
"DD1     ","泰康双重关爱重大疾病保险      "
"DRA     ","泰康健康人生重疾定期保障计划  "
"DRB     ","泰康健康人生B款保障计划       "
"DRC     ","健康人生重大疾病终身保障计划  "
"F01     ","泰康新天福两全保险（分红型）  "
"FKP     ","家庭保障计划K                 "
"FLP     ","家庭保障计划L                 "
"FMP     ","家庭保障计划M                 "
"FNP     ","爱家之约幸福版                "
"H01     ","世纪泰康个人住院医疗保险      "
"H02     ","世纪泰康特定保险              "
"H03     ","泰康住院费用补偿型医疗保险    "
"H04     ","泰康住院费用补偿型医疗保险    "
"H05     ","少儿住院费用补偿型医疗保险    "
"H07     ","泰康吉祥住院津贴健康保险      "
"H08     ","泰康吉祥重大疾病保险计划      "
"H09     ","泰康吉祥健康保险计划　分红型  "
"H10     ","泰康吉祥健康保险计划          "
"H11     ","悦享环球高端医疗保险保障计划  "
"L03     ","永相伴终身保险                "
"L05     ","小博士计划保险                "
"L07     ","常青树终身保险B               "
"L08     ","常青树终身保险C               "
"L11     ","常青树－每年一返              "
"L33     ","永相伴 　含免交               "
"L41     ","常青树  含免交                "
"L43     ","永相伴终身保险- 无增值        "
"IPA     ","泰康意外及健康综合保障计划    "
"JEN     ","阳光旅程少儿两全保险　分红型  "
"JL1     ","泰康金利两全保险（分红型）    "
"JL2     ","泰康金利两全保险B(分红型)     "
"L01     ","常青树                        "
"L02     ","还本终身保险                  "
"SA3     ","新天寿                        "
"SA4     ","新天寿                        "
"SA5     ","新天寿                        "
"SSB     ","泰康盛世人生B款分红年金       "
"SSC     ","泰康盛世人生C款分红年金       "
"SSR     ","泰康盛世人生2008年金保险      "
"T01     ","TEST                          "
"TEN     ","传统性储蓄保险                "
"U01     ","智慧理财投资连结终身保险      "
"U02     ","泰康卓越财富终身寿险　万能型  "
"U03     ","泰康爱家理财计划              "
"U04     ","泰康爱家理财计划２００７      "
"U05     ","泰康卓越财富2007终身寿险      "
"U07     ","泰康卓越财富B款终身寿险       "
"YLA     ","泰康永利两全保险A款（分红     "
"YLB     ","泰康永利两全保险B款（分红     "
"Z01     ","泰康尊崇一生定期寿险          "
"Z02     ","泰康尊崇一生定期寿险          "
"Z03     ","泰康尊崇一生两全保险          "
"Z04     ","泰康尊崇一生两全保险          "
"L44     ","永相伴终身保险- 无增值含免    "
"L47     ","常青树B 　含免交              "
"L48     ","常青树C 　含免交              "
"LST     ","低开始U/L储蓄保险             "
"N01     ","E爱家养老无忧年金保险         "
"N05     ","泰康e爱家组合保险（60岁)      "
"N06     ","泰康e爱家组合保险（70岁)      "
"N07     ","泰康淘宝活力保                "
"N08     ","泰康微小宝２号                "
"N09     ","天使爱心卡（微小宝２号）      "
"ND1     ","泰康E康B款终身重大疾病        "
"ND2     ","泰康e康终身防癌疾病保险       "
"ND7     ","泰康e顺少儿重大疾病           "
"ND8     ","泰康e顺女性疾病保险           "
"ND9     ","泰康e康妇婴疾病保险           "
"NE1     ","泰康淘社保                    "
"NE2     ","泰康蒲公英2号                 "
"NE3     ","泰康Ｅ顺意外                  "
"NE4     ","泰康蒲公英3号                 "
"NE5     ","泰康蒲公英4号                 "
"NF1     ","泰康关爱宝门诊住院保障计划    "
"NF2     ","泰康关爱宝门诊保障计划        "
"NF3     ","泰康蒲公英门急诊住院保障计划  "
"NF4     ","泰康一年期超能保障计划        "
"NF5     ","泰康健康1+1返本型重大疾病     "
"NF6     ","泰康e顺健康保障计划           "
"NF7     ","泰康e康住院费用医疗保险       "
"NF8     ","泰康璀璨人生年金保险计划      "
"NF9     ","泰康e享健康重大疾病保障计     "
"NP1     ","泰康爱相随定期寿险10年        "
"NP2     ","泰康爱相随定期寿险20年        "
"NP3     ","泰康爱相随定期寿险30年        "
"NWI     ","泰康e顺意外伤害               "
"PAI     ","安心无忧意外伤害保险          "
"PAP     ","安心无忧意外及健康保障计划Ｃ  "
"PCA     ","如意宝家庭保障计划A款         "
"PCB     ","如意宝家庭保障计划B款         "
"PHK     ","泰康如意宝航空意外伤害保险    "
"PRA     "," 如意宝少儿重大疾病保险　　   "
"PRI     ","泰康如意宝综合保障计划        "
"PRJ     ","泰康如意通意外保障计划        "
"PRL     ","泰康如意宝综合保障计划2014    "
"PWI     ","泰康亿顺综合保障计划          "
"R09     ","已转换年金主险                "
"RUL     ","定期保费单位连接              "
"S01     ","泰康新天寿两全保险（分红型）  "
"SA1     ","新天寿                        "
"SA2     ","新天寿                        "
"U09     ","泰康E理财终身寿险(万能型      "
"U10     ","泰康卓越人生终身寿险（万能型  "
"U11     ","泰康附加智慧之选两全保险万能  "
"U12     ","泰康智慧理财终身寿险（万能型  "
"U13     ","泰康旺财1号两全保险（万能     "
"U14     ","泰康智慧理财B款终身寿险       "
"U15     ","泰康旺财2号两全保险（万能     "
"U18     ","泰康旺财1号年金保险万能型     "
"U19     ","泰康富贵E生健康保险计划       "
"U20     ","泰康爱理财年金保险万能型      "
"U22     ","泰康旺财1号B款两全保险        "
"U23     ","泰康旺财1号C款两全保险        "
"W03     ","减额交清保险                  "
"WSM     ","第三级员工福利计划            "
